Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
467,43.0,54.0,46.32,
468,43.0,52.0,46.36,
469,43.0,56.0,46.2,
470,43.0,54.0,46.62,
471,43.0,56.0,46.58,
472,43.0,51.0,45.72,
473,43.0,55.0,46.16,
474,43.0,57.0,46.42,
475,43.0,55.0,46.6,
476,43.0,57.0,46.68,
477,43.0,53.0,46.4,
478,43.0,53.0,45.98,
479,43.0,52.0,46.42,
480,43.0,56.0,46.78,
481,43.0,54.0,46.18,
482,43.0,55.0,46.36,
483,43.0,53.0,46.12,
484,43.0,54.0,46.4,
485,43.0,52.0,46.32,
486,43.0,56.0,45.84,
487,43.0,54.0,46.44,
488,43.0,55.0,46.04,
489,43.0,53.0,46.1,
490,43.0,55.0,45.54,
491,43.0,55.0,45.76,
492,43.0,57.0,45.96,
493,43.0,59.0,46.54,
494,43.0,52.0,46.24,
495,43.0,52.0,46.12,
496,43.0,54.0,46.44,
497,43.0,53.0,46.12,
498,43.0,54.0,46.42,
499,43.0,53.0,45.88,
500,43.0,52.0,46.22,
501,43.0,53.0,46.82,
502,43.0,53.0,46.02,
503,43.0,55.0,46.44,
504,43.0,54.0,46.36,
505,43.0,51.0,46.04,
506,43.0,52.0,46.7,
507,43.0,53.0,45.78,
508,43.0,55.0,46.18,
509,43.0,55.0,46.68,
510,43.0,51.0,46.2,
511,43.0,52.0,46.18,
512,43.0,53.0,45.86,
513,43.0,60.0,46.68,
514,43.0,53.0,45.76,
515,43.0,54.0,45.68,
516,43.0,54.0,47.14,
517,43.0,57.0,45.88,
518,43.0,53.0,46.34,
519,43.0,52.0,45.72,
520,43.0,54.0,46.7,
521,43.0,55.0,46.26,
522,43.0,53.0,46.5,
523,43.0,58.0,46.8,
524,43.0,52.0,46.68,
525,43.0,52.0,46.34,
526,43.0,54.0,46.02,
527,43.0,52.0,46.14,
528,43.0,57.0,46.18,
529,43.0,53.0,45.92,
530,43.0,55.0,46.4,
531,43.0,55.0,46.2,
532,43.0,55.0,46.2,
533,43.0,54.0,46.3,
534,43.0,54.0,46.36,
535,43.0,54.0,46.02,
536,43.0,52.0,46.02,
537,43.0,54.0,46.92,
538,43.0,58.0,46.66,
539,43.0,54.0,46.16,
540,43.0,53.0,47.06,
541,43.0,63.0,46.4,
542,43.0,53.0,46.36,
543,43.0,56.0,46.26,
544,43.0,60.0,46.76,
545,43.0,53.0,46.74,
546,43.0,53.0,45.66,
547,43.0,55.0,46.18,
548,43.0,55.0,46.5,
549,43.0,53.0,45.76,
550,43.0,52.0,45.96,
551,43.0,53.0,45.6,
552,43.0,56.0,46.16,
553,43.0,53.0,46.44,
554,43.0,52.0,45.72,
555,43.0,56.0,45.86,
556,43.0,52.0,46.1,
557,43.0,51.0,45.86,
558,43.0,56.0,46.24,
559,43.0,57.0,46.24,
560,43.0,56.0,46.48,
