Machine = 10,Job = 5,Task = 60,Ant = 50,,,
Sedai , Best , Bad , Average ,,,
662,125,183,150.64, ,,
663,120,175,153.12, ,,
664,127,179,150.24, ,,
665,128,189,154.8, ,,
666,122,187,153.1, ,,
667,125,186,152.88, ,,
668,125,177,149.86, ,,
669,125,176,149.54, ,,
670,124,180,147.98, ,,
671,137,175,154.3, ,,
672,123,190,152.94, ,,
673,130,188,151.64, ,,
674,126,187,151.8, ,,
675,124,196,153.08, ,,
676,121,176,152.28, ,,
677,121,177,153.12, ,,
678,130,187,151.16, ,,
679,124,183,151.78, ,,
680,126,170,150.72, ,,
681,125,167,148.02, ,,
682,116,181,154.7, ,,
683,125,176,150.58, ,,
684,130,180,152.68, ,,
685,129,179,153.78, ,,
686,125,173,147.72, ,,
687,124,183,153.76, ,,
688,126,187,154.2, ,,
689,124,178,150.28, ,,
690,131,186,154.48, ,,
691,127,171,150.14, ,,
692,114,191,153.86, ,,
693,120,174,151.6, ,,
694,124,191,152.76, ,,
695,122,188,150.76, ,,
696,131,197,155.02, ,,
697,124,187,154.68, ,,
698,132,178,151.58, ,,
699,132,179,152.64, ,,
700,131,174,153.44, ,,
701,116,178,148.24, ,,
702,123,187,155.18, ,,
703,115,179,151.86, ,,
704,124,186,152.48, ,,
705,128,179,153.62, ,,
706,128,183,153.86, ,,
707,122,179,151.58, ,,
708,130,206,154.18, ,,
709,119,183,152.1, ,,
710,115,183,153.34, ,,
711,123,179,153.58, ,,
712,131,176,151.94, ,,
713,129,176,152.9, ,,
714,130,179,152.26, ,,
715,129,187,154.2, ,,
716,128,173,150.44, ,,
717,131,176,151.48, ,,
718,132,173,153.38, ,,
719,122,181,154.88, ,,
720,123,178,147.38, ,,
721,123,175,150.68, ,,
722,118,182,151.1, ,,
723,118,177,152.38, ,,
724,123,185,151.02, ,,
725,126,191,150.9, ,,
726,121,181,150.46, ,,
727,129,176,150.4, ,,
728,124,184,153.88, ,,
729,120,179,153.48, ,,
730,122,186,150.8, ,,
731,122,180,151.02, ,,
732,117,175,150.5, ,,
733,116,197,153.2, ,,
734,128,184,152.48, ,,
735,125,190,152.92, ,,
736,123,178,151, ,,
737,121,181,151.82, ,,
738,129,198,155.5, ,,
739,132,183,151.84, ,,
740,127,172,148.64, ,,
741,134,170,149.42, ,,
742,117,171,149.32, ,,
743,128,178,151.44, ,,
744,124,195,152.12, ,,
745,128,178,150.16, ,,
746,120,186,152.88, ,,
747,115,176,151.38, ,,
748,128,177,154.24, ,,
749,126,184,153.74, ,,
750,125,180,151.68, ,,
751,130,172,154.2, ,,
752,126,193,153.62, ,,
753,123,174,147.48, ,,
754,127,170,151.12, ,,
755,123,169,149.3, ,,
756,133,182,151.68, ,,
757,124,182,151.5, ,,
758,128,176,153.44, ,,
759,130,179,152.2, ,,
760,126,189,150.9, ,,
761,126,179,151.3, ,,
762,125,176,150.66, ,,
763,129,186,154.64, ,,
764,122,182,154.18, ,,
765,133,181,151.18, ,,
766,126,186,153.46, ,,
767,132,173,152.4, ,,
768,119,180,149.64, ,,
769,133,183,155.08, ,,
770,131,184,152.86, ,,
771,124,174,152.48, ,,
772,111,178,150.18, ,,
773,125,177,149.18, ,,
774,122,182,153.36, ,,
775,120,184,152.46, ,,
776,120,173,149.9, ,,
777,129,177,149.38, ,,
778,128,190,156.56, ,,
779,125,173,150.14, ,,
780,135,187,153.12, ,,
781,119,178,148.2, ,,
782,124,197,152.42, ,,
783,128,178,150.94, ,,
784,131,192,150.94, ,,
785,137,177,153.66, ,,
786,136,185,153.84, ,,
787,124,186,153.16, ,,
788,127,174,147.22, ,,
789,131,182,151.34, ,,
790,119,189,149.64, ,,
791,130,190,152.72, ,,
792,124,188,148.32, ,,
793,123,195,153.28, ,,
794,125,171,151.16, ,,
